"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Spain","2008","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2007","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","491138",""
"Spain","2007","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","41670",""
"Spain","2007","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","36171",""
"Spain","2007","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","40376",""
"Spain","2007","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","38530",""
"Spain","2007","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","41289",""
"Spain","2007","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","40085",""
"Spain","2007","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","42682",""
"Spain","2007","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","41716",""
"Spain","2007","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","42981",""
"Spain","2007","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","44256",""
"Spain","2007","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","40869",""
"Spain","2007","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","40513",""
"Spain","2007","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2006","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","481295",""
"Spain","2006","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","40075",""
"Spain","2006","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","36394",""
"Spain","2006","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","40641",""
"Spain","2006","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","38229",""
"Spain","2006","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","41473",""
"Spain","2006","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","39512",""
"Spain","2006","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","40484",""
"Spain","2006","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","40286",""
"Spain","2006","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","41486",""
"Spain","2006","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","43069",""
"Spain","2006","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","40662",""
"Spain","2006","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","38984",""
"Spain","2006","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2005","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","464811",""
"Spain","2005","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","38456",""
"Spain","2005","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","35329",""
"Spain","2005","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","38685",""
"Spain","2005","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","37696",""
"Spain","2005","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","39299",""
"Spain","2005","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","37116",""
"Spain","2005","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","38907",""
"Spain","2005","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","40110",""
"Spain","2005","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","40152",""
"Spain","2005","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","40049",""
"Spain","2005","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","39241",""
"Spain","2005","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","39771",""
"Spain","2005","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2004","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","453172",""
"Spain","2004","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","37501",""
"Spain","2004","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","34405",""
"Spain","2004","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","36962",""
"Spain","2004","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","36300",""
"Spain","2004","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","37377",""
"Spain","2004","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","36886",""
"Spain","2004","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","39146",""
"Spain","2004","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","37837",""
"Spain","2004","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","39618",""
"Spain","2004","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","39916",""
"Spain","2004","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","38073",""
"Spain","2004","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","39151",""
"Spain","2004","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2003","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","440531",""
"Spain","2003","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","36067",""
"Spain","2003","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","32965",""
"Spain","2003","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","36741",""
"Spain","2003","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","36846",""
"Spain","2003","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","38474",""
"Spain","2003","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","35982",""
"Spain","2003","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","37719",""
"Spain","2003","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","36687",""
"Spain","2003","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","38531",""
"Spain","2003","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","37848",""
"Spain","2003","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","36019",""
"Spain","2003","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","36652",""
"Spain","2003","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2002","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","417688",""
"Spain","2002","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","33932",""
"Spain","2002","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","31225",""
"Spain","2002","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","33590",""
"Spain","2002","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","34569",""
"Spain","2002","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","35617",""
"Spain","2002","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","32858",""
"Spain","2002","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","35873",""
"Spain","2002","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","35328",""
"Spain","2002","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","36835",""
"Spain","2002","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","37038",""
"Spain","2002","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","34912",""
"Spain","2002","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","35911",""
"Spain","2002","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2001","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","405313",""
"Spain","2001","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","34118",""
"Spain","2001","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","29821",""
"Spain","2001","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","33340",""
"Spain","2001","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","32590",""
"Spain","2001","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","35372",""
"Spain","2001","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","32625",""
"Spain","2001","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","34680",""
"Spain","2001","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","34695",""
"Spain","2001","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","34061",""
"Spain","2001","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","36185",""
"Spain","2001","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","34224",""
"Spain","2001","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","33602",""
"Spain","2001","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2012","0",""
"Spain","2000","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2004","397632",""
"Spain","2000","Total","January","Data tabulated by year of occurrence","Final figure, complete","2004","32995",""
"Spain","2000","Total","February","Data tabulated by year of occurrence","Final figure, complete","2004","30696",""
"Spain","2000","Total","March","Data tabulated by year of occurrence","Final figure, complete","2004","33608",""
